Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
150,Kelly Olynyk\olynyke01,PF,26,MIA,5,0,29.2,4.2,8.8,0.477,1.6,3.8,0.421,2.6,5,0.52,0.568,2.8,4,0.7,1.4,3.2,4.6,3.8,1.4,1.2,1.6,3.8,12.8
151,Chinanu Onuaku\onuakch01,C,21,HOU,1,0,3,0,0,,0,0,,0,0,,,0,0,,1,0,1,1,1,0,0,1,0
152,Cedi Osman\osmande01,SF,22,CLE,14,0,4.4,0.4,1.3,0.333,0.1,0.5,0.143,0.4,0.8,0.455,0.361,0.1,0.3,0.25,0.1,0.4,0.5,0.2,0.2,0,0,0.4,1
153,Kelly Oubre\oubreke01,SF,22,WAS,6,1,24.7,3,8,0.375,0.7,3.2,0.211,2.3,4.8,0.483,0.417,2.7,3,0.889,0.2,3.7,3.8,0.7,1,0.5,0.8,2.7,9.3
154,Zaza Pachulia\pachuza01,C,33,GSW,7,0,3.7,0.6,1,0.571,0,0,,0.6,1,0.571,0.571,1.3,1.7,0.75,0.9,0.9,1.7,0.1,0.4,0.1,0.4,0.1,2.4
155,Jabari Parker\parkeja01,PF,22,MIL,7,0,23.9,4,8.9,0.452,0.9,2.7,0.316,3.1,6.1,0.512,0.5,1.1,1.9,0.615,1.1,5,6.1,1.4,1,0.6,0.9,2.1,10
156,Tony Parker\parketo01,PG,35,SAS,5,0,13.4,2.8,7.4,0.378,0,1,0,2.8,6.4,0.438,0.378,1,1.4,0.714,0,0.8,0.8,1.2,0.4,0,0.8,0.4,6.6
157,Patrick Patterson\pattepa01,PF,28,OKC,6,0,9.7,0.5,1,0.5,0.3,0.7,0.5,0.2,0.3,0.5,0.667,0,0,,0.2,1.7,1.8,0.5,0.2,0,0.5,1.3,1.3
158,Brandon Paul\paulbr01,SG,26,SAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
159,Chris Paul\paulch01,PG,32,HOU,15,15,34.5,7.9,17.1,0.459,2.5,6.6,0.374,5.4,10.5,0.513,0.531,2.9,3.5,0.83,0.6,5.3,5.9,5.8,2,0.3,1.9,3.1,21.1
160,Jakob Poltl\poeltja01,C,22,TOR,9,0,15.6,1.9,3.4,0.548,0,0.1,0,1.9,3.3,0.567,0.548,1.7,2.1,0.789,1.7,2.3,4,0.7,0.3,0.4,0.9,2.8,5.4
161,Otto Porter\porteot01,SF,24,WAS,5,5,31.6,4,8.2,0.488,1,2.4,0.417,3,5.8,0.517,0.549,1,1.6,0.625,0.2,4.8,5,1.6,1.2,1,0.6,1.2,10
162,Norman Powell\powelno01,SG,24,TOR,6,0,6.7,0.7,2.3,0.286,0.2,1.2,0.143,0.5,1.2,0.429,0.321,0.5,0.7,0.75,0,0.3,0.3,0.3,0,0,0.2,0.7,2
163,Zhou Qi\qizh01,C,22,HOU,3,0,2,0.3,0.3,1,0,0,,0.3,0.3,1,1,0,0,,0,0.3,0.3,0,0,0,0,0,0.7
164,J.J. Redick\redicjj01,SG,33,PHI,10,10,34.2,6,13.5,0.444,2.6,7.5,0.347,3.4,6,0.567,0.541,3.6,4.2,0.857,0.3,1.2,1.5,2.6,0.8,0.1,1.1,2.1,18.2
165,Josh Richardson\richajo01,SF,24,MIA,5,5,26,3,8,0.375,1.2,3.8,0.316,1.8,4.2,0.429,0.45,1.2,1.4,0.857,0.8,2.2,3,2.8,2.2,1,1,3.4,8.4
166,Glenn Robinson\robingl02,SF,24,IND,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,0.5,0.5,0,0,0,0,0,1
167,Rajon Rondo\rondora01,PG,31,NOP,9,9,33.6,4.2,10.2,0.413,0.9,2.1,0.421,3.3,8.1,0.411,0.457,1,1.6,0.643,1,6.6,7.6,12.2,1.4,0.2,3.7,2.2,10.3
168,Derrick Rose\rosede01,PG,29,MIN,5,0,23.8,5.8,11.4,0.509,1.4,2,0.7,4.4,9.4,0.468,0.57,1.2,1.4,0.857,0.2,1.6,1.8,2.6,0.4,0,1.6,1.8,14.2
169,Terry Rozier\roziete01,PG,23,BOS,19,19,36.6,5.7,14,0.406,2.7,7.7,0.347,3,6.3,0.479,0.502,2.4,2.9,0.821,0.4,4.8,5.3,5.7,1.3,0.3,1.2,2,16.5
170,Ricky Rubio\rubiori01,PG,27,UTA,6,6,30.2,4.7,13.2,0.354,1.7,5.3,0.313,3,7.8,0.383,0.418,3,3.8,0.783,0.8,6.5,7.3,7,1.3,0.5,3,2.2,14
171,Domantas Sabonis\sabondo01,C,21,IND,7,0,23.7,5.1,8.9,0.581,0.1,1,0.143,5,7.9,0.636,0.589,2,2.6,0.778,2,2.6,4.6,0.7,0.1,0.3,1,3.1,12.4
172,Dario Saric\saricda01,PF,23,PHI,10,10,32.9,5.9,14,0.421,2,5.2,0.385,3.9,8.8,0.443,0.493,3.4,4,0.85,3.2,4.1,7.3,3.5,1,0.4,1.5,2.8,17.2
173,Tomas Satoransky\satorto01,SG,26,WAS,6,0,10,0.3,2.2,0.154,0,0.5,0,0.3,1.7,0.2,0.154,0.5,0.7,0.75,0.8,0.7,1.5,0.5,0,0,0.5,0.7,1.2
174,Mike Scott\scottmi01,PF,29,WAS,6,0,21,4.3,6.8,0.634,1.2,1.8,0.636,3.2,5,0.633,0.72,1,1,1,1,2.5,3.5,0.7,0.3,0.2,0.8,1.7,10.8
175,Pascal Siakam\siakapa01,PF,23,TOR,10,0,17.9,2.5,4.1,0.61,0.3,0.4,0.75,2.2,3.7,0.595,0.646,1.3,2,0.65,0.9,2.7,3.6,0.8,0.1,0.6,0.7,2.7,6.6
176,Ben Simmons\simmobe01,PG,21,PHI,10,10,36.9,6.1,12.5,0.488,0,0.1,0,6.1,12.4,0.492,0.488,4.1,5.8,0.707,1.6,7.8,9.4,7.7,1.7,0.8,4.4,3.4,16.3
177,Marcus Smart\smartma01,SG,23,BOS,15,4,29.9,3.2,9.5,0.336,1,4.5,0.221,2.2,5,0.44,0.388,2.4,3.3,0.735,0.9,2.8,3.7,5.3,1.7,0.7,2.4,2.9,9.8
178,J.R. Smith\smithjr01,SG,32,CLE,22,21,32.1,3,8.5,0.348,2,5.5,0.367,1,3,0.313,0.465,0.8,1,0.773,0.5,2.3,2.7,1.1,1,0.2,0.9,2.5,8.7
179,Jason Smith\smithja02,C,31,WAS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
180,Tony Snell\snellto01,SG,26,MIL,7,2,19.1,1,3.4,0.292,0.7,3,0.238,0.3,0.4,0.667,0.396,0,0,,0.1,1.7,1.9,0.6,0.4,0.6,0.4,1.4,2.7
181,Lance Stephenson\stephla01,SG,27,IND,7,0,21.3,4.3,9.3,0.462,1.1,3.7,0.308,3.1,5.6,0.564,0.523,0.7,1.3,0.556,0.4,2.3,2.7,2.9,0.3,0.1,1.3,2.9,10.4
182,David Stockton\stockda01,PG,26,UTA,2,0,3,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,0,0,,0,0.5,0.5,0,0,0,0,0.5,1
183,Caleb Swanigan\swanica01,PF,20,POR,1,0,8,0,2,0,0,1,0,0,1,0,0,3,4,0.75,0,2,2,1,0,0,1,1,3
184,Jayson Tatum\tatumja01,SF,19,BOS,19,19,35.9,6.5,13.7,0.471,1.2,3.7,0.324,5.3,10,0.526,0.515,4.3,5.1,0.845,0.5,3.8,4.4,2.7,1.2,0.5,2.2,2.6,18.5
185,Jeff Teague\teaguje01,PG,29,MIN,5,5,30.6,4.6,10.2,0.451,1.4,3.6,0.389,3.2,6.6,0.485,0.52,2.4,3.4,0.706,0.6,3,3.6,5.8,0.6,0.4,2.8,3.8,13
186,Jason Terry\terryja01,SG,40,MIL,3,0,14.7,0.7,1.7,0.4,0.7,1.7,0.4,0,0,,0.6,0,0,,0.3,0.3,0.7,0.7,0.3,0,0.3,0.7,2
187,Klay Thompson\thompkl01,SG,27,GSW,21,21,37.8,7.6,16.3,0.465,3.2,7.5,0.427,4.4,8.8,0.497,0.563,1.3,1.5,0.871,0.5,3.6,4.1,1.8,0.8,0.3,1.5,2.3,19.6
